Dataset,Mean of Accuracy,Stdv of Accuracy,Pearson Correlation (H),Pearson Correlation (N)
Unfiltered,0.08,0.05,0.65,0.82
Tolerant,0.08,0.05,0.64,0.83
Moderate,0.08,0.05,0.64,0.82
Strict,0.07,0.04,0.59,0.8
