30079	30079
28096	28096
28096	15467
28096	7235
28096	27174
28096	16409
28096	28095
28096	27920
28096	27697
28096	17852
28096	7234
28096	28097
28096	27175
28096	17851
11218	11218
11218	4574
11362	11362
11362	11361
11362	11359
11362	11115
11362	11360
11362	11358
19771	19771
19771	18840
15150	15150
15150	16871
17664	17664
5471	5471
17613	17613
17613	18465
17613	18372
17613	17304
17613	18337
15127	15127
30097	30097
36405	36405
6894	6894
6894	51110
16198	16198
6900	6900
27691	27691
18180	18180
18180	18215
6999	6999
16176	16176
27608	27608
27608	28005
27608	28006
15837	15837
30813	30813
30813	30938
30813	30949
30813	50161
17359	17359
15840	15840
15560	15560
15560	26980
15560	17414
15560	26979
15560	26984
15560	19711
15560	16634
15560	26981
15560	16009
15483	15483
30969	30969
15517	15517
15517	18113
15517	6705
15517	7322
15517	16617
15517	16955
15517	36086
15517	6049
15517	16945
5041	5041
34695	34695
16866	16866
16866	16867
27342	27342
18890	18890
16531	16531
16531	50554
16531	16528
16531	18331
16531	18032
16531	25688
16531	16805
16531	16525
16531	51135
16531	50757
16531	16532
16531	51813
16531	18468
16531	6516
16531	18819
16531	18821
16531	17886
16531	16526
16531	4989
16531	18263
16531	50756
16531	18216
16531	6962
16531	16524
16531	50700
16531	50699
16531	16529
16531	17203
16531	6790
16531	27061
16531	16530
16531	16506
16531	50755
16531	15449
16531	16661
16531	27872
16531	16527
16531	17235
16531	18820
16531	16533
16531	16856
18424	18424
18424	5269
18424	18423
18424	16306
18424	18422
18424	26886
18424	17226
18424	26885
18424	16307
10037	10037
10037	10032
6184	6184
10040	10040
16888	16888
16888	18715
16888	50643
16888	18716
16888	7309
16888	5960
16888	15116
16888	50640
16888	50642
16888	7250
16888	16889
16888	15114
16888	16887
6010	6010
6010	6324
17324	17324
26800	26800
19231	19231
19231	15632
19231	17014
30434	30434
30434	30433
30434	30432
26994	26994
34606	34606
30443	30443
19246	19246
15489	15489
30880	30880
36048	36048
36048	11422
6117	6117
10147	10147
10130	10130
6160	6160
6160	15271
18523	18523
18523	17483
18523	17482
18523	17948
18803	18803
50325	50325
50325	6760
25492	25492
25492	17085
25492	18458
25492	30098
4759	4759
4759	6553
4759	1672
4759	6552
4759	6560
1744	1744
1744	4207
1744	1743
1744	6771
1744	30310
7242	7242
30004	30004
30004	16015
30004	50960
30004	30003
30004	34231
30004	17760
30004	15944
30004	16318
30004	4789
30004	30002
30004	34233
30004	51124
30004	25484
11265	11265
11265	30048
11265	17030
11265	36136
11265	30047
11265	30050
51070	51070
5821	5821
5821	6606
5856	5856
5856	16891
5856	7125
5856	16898
5856	6683
5598	5598
51007	51007
51007	34236
51007	17714
51007	16071
51007	6380
51007	4307
51007	4434
51007	6377
51007	25251
51007	17034
51007	27264
51007	27835
51007	28116
51007	17081
51007	17780
51007	16076
51007	7142
51007	6383
51007	4620
51007	16078
51007	34003
51007	4379
51007	50544
51007	26958
51007	4402
51007	28115
51007	16722
51007	50527
51007	17082
51007	16075
51007	18550
51007	25692
51007	4563
51007	27047
51007	16077
51007	26998
51007	16328
51007	15676
51007	16080
51007	4641
51007	4736
51007	25250
51007	51006
51007	6381
51007	16743
51007	17087
51007	4564
51007	50528
51007	6953
51007	19268
51007	15394
51007	16616
51007	27259
51007	5713
51007	16723
51007	6378
51007	16183
51007	17174
