10119_1_1_1	10119_1_1_1
15036_1_1_1	15036_1_1_1
15419_1_1_1	15419_1_1_1
15661_1_1_1	15661_1_1_1
15943_1_1_1	15943_1_1_1
16269_1_1_1	16269_1_1_1
16868_1_1_1	16868_1_1_1
17399_1_1_1	17399_1_1_1
17625_1_1_1	17625_1_1_1
17905_1_1_1	17905_1_1_1
18398_1_1_1	18398_1_1_1
18789_1_1_1	18789_1_1_1
19048_1_1_1	19048_1_1_1
19048_1_1_1	27564_1_1_1
19048_1_1_1	19047_1_1_1
19366_1_1_1	19366_1_1_1
19366_1_1_1	19367_1_1_1
19366_1_1_1	34172_1_1_1
19617_1_1_1	19617_1_1_1
19617_1_1_1	25600_1_1_1
19617_1_1_1	25819_1_1_1
25113_1_1_1	25113_1_1_1
25113_1_1_1	17820_1_1_1
25355_1_1_1	25355_1_1_1
27206_1_1_1	27206_1_1_1
27934_1_1_1	27934_1_1_1
30040_1_1_1	30040_1_1_1
30084_3_3_1	30084_3_3_1
30084_3_3_1	30084_4_4_1
30084_3_3_1	30085_1_1_1
30084_3_3_1	30080_1_1_1
30084_3_3_1	30085_2_2_1
30084_3_3_1	30080_2_2_1
30084_3_3_1	30085_3_3_1
30084_3_3_1	30080_3_3_1
30084_3_3_1	30085_4_4_1
30084_3_3_1	30080_4_4_1
30084_3_3_1	30081_1_1_1
30084_3_3_1	30086_1_1_1
30084_3_3_1	30081_2_2_1
30084_3_3_1	30086_2_2_1
30084_3_3_1	30081_3_3_1
30084_3_3_1	30086_3_3_1
30084_3_3_1	30081_4_4_1
30084_3_3_1	30086_4_4_1
30084_3_3_1	30082_1_1_1
30084_3_3_1	30082_2_2_1
30084_3_3_1	30082_3_3_1
30084_3_3_1	30082_4_4_1
30084_3_3_1	30083_1_1_1
30084_3_3_1	30083_2_2_1
30084_3_3_1	30083_3_3_1
30084_3_3_1	30083_4_4_1
30084_3_3_1	30084_1_1_1
30084_3_3_1	30084_2_2_1
30527_1_1_1	30527_1_1_1
30765_1_2_2	30765_1_2_2
34106_1_1_1	34106_1_1_1
34261_2_1_1	34261_2_1_1
34428_1_2_2	34428_1_2_2
34643_1_1_1	34643_1_1_1
36161_1_1_1	36161_1_1_1
50196_1_1_1	50196_1_1_1
50741_1_1_1	50741_1_1_1
51230_1_1_1	51230_1_1_1
51230_1_1_1	51234_1_1_1
51230_1_1_1	51235_1_1_1
51230_1_1_1	51236_1_1_1
11001_1_1_1	11001_1_1_1
15046_1_1_1	15046_1_1_1
15423_1_1_1	15423_1_1_1
15669_1_1_1	15669_1_1_1
15949_1_1_1	15949_1_1_1
16293_1_1_1	16293_1_1_1
16632_2_1_1	16632_2_1_1
16632_2_1_1	16632_1_1_1
16879_1_1_1	16879_1_1_1
17136_1_1_1	17136_1_1_1
17403_1_1_1	17403_1_1_1
17633_1_1_1	17633_1_1_1
18153_1_1_1	18153_1_1_1
18399_1_1_1	18399_1_1_1
18794_1_1_1	18794_1_1_1
19056_1_1_1	19056_1_1_1
19625_1_1_1	19625_1_1_1
25127_1_1_1	25127_1_1_1
25380_1_1_1	25380_1_1_1
25668_1_1_1	25668_1_1_1
25668_1_1_1	25659_1_1_1
26601_1_1_1	26601_1_1_1
26601_1_1_1	26600_1_1_1
26601_1_1_1	26602_1_1_1
26601_1_1_1	27278_1_1_1
26601_1_1_1	27279_1_1_1
26601_1_1_1	27280_1_1_1
26601_1_1_1	27281_1_1_1
26601_1_1_1	26977_1_1_1
26601_1_1_1	26569_1_1_1
26888_1_1_1	26888_1_1_1
26888_1_1_1	26887_1_1_1
27211_1_1_1	27211_1_1_1
27531_1_1_1	27531_1_1_1
27985_1_1_1	27985_1_1_1
30301_1_1_1	30301_1_1_1
30550_1_1_1	30550_1_1_1
30777_1_1_1	30777_1_1_1
34109_1_1_1	34109_1_1_1
34282_1_1_1	34282_1_1_1
34430_1_1_1	34430_1_1_1
34648_1_1_1	34648_1_1_1
36162_1_1_1	36162_1_1_1
50215_1_1_1	50215_1_1_1
50747_1_1_1	50747_1_1_1
11053_1_1_1	11053_1_1_1
15057_1_1_1	15057_1_1_1
15426_1_1_1	15426_1_1_1
15954_1_1_1	15954_1_1_1
16297_1_1_1	16297_1_1_1
16641_1_1_1	16641_1_1_1
16880_1_1_1	16880_1_1_1
17139_1_1_1	17139_1_1_1
17404_1_1_1	17404_1_1_1
17639_1_1_1	17639_1_1_1
18400_1_1_1	18400_1_1_1
18632_2_1_1	18632_2_1_1
18632_2_1_1	18632_1_1_1
18806_1_1_1	18806_1_1_1
36341_1_1_1	36341_1_1_1
50898_1_1_1	50898_1_1_1
50898_1_1_1	50897_1_1_1
51344_1_1_1	51344_1_1_1
51344_1_1_1	51343_1_1_1
11423_1_1_1	11423_1_1_1
15540_1_1_1	15540_1_1_1
15778_1_1_1	15778_1_1_1
16057_1_1_1	16057_1_1_1
16354_1_1_1	16354_1_1_1
16710_1_1_1	16710_1_1_1
16926_1_1_1	16926_1_1_1
17474_1_1_1	17474_1_1_1
17766_1_1_1	17766_1_1_1
18003_1_1_1	18003_1_1_1
18231_1_1_1	18231_1_1_1
18231_1_1_1	18545_1_1_1
18231_1_1_1	18087_1_1_1
18231_1_1_1	18089_1_1_1
18231_1_1_1	17857_1_1_1
18231_1_1_1	17866_1_1_1
18516_1_1_1	18516_1_1_1
18692_1_1_1	18692_1_1_1
18876_1_1_1	18876_1_1_1
19111_1_1_1	19111_1_1_1
19438_1_1_1	19438_1_1_1
19697_1_1_1	19697_1_1_1
25182_1_1_1	25182_1_1_1
25182_1_1_1	25183_1_1_1
25735_1_1_1	25735_1_1_1
25735_1_1_1	19201_1_1_1
26694_1_1_1	26694_1_1_1
26694_1_1_1	25860_1_1_1
26694_1_1_1	25861_1_1_1
26694_1_1_1	26695_1_1_1
27610_1_1_1	27610_1_1_1
28084_1_1_1	28084_1_1_1
30418_1_1_1	30418_1_1_1
30958_1_1_1	30958_1_1_1
34325_1_1_1	34325_1_1_1
34494_1_1_1	34494_1_1_1
34728_3_2_2	34728_3_2_2
34728_3_2_2	34727_1_2_2
36342_1_1_1	36342_1_1_1
50389_1_1_1	50389_1_1_1
50899_1_1_1	50899_1_1_1
51384_1_1_1	51384_1_1_1
15200_1_1_1	15200_1_1_1
15553_1_1_1	15553_1_1_1
15779_1_1_1	15779_1_1_1
16058_1_1_1	16058_1_1_1
16372_1_1_1	16372_1_1_1
16711_1_1_1	16711_1_1_1
16969_1_1_1	16969_1_1_1
17264_1_2_2	17264_1_2_2
18242_1_1_1	18242_1_1_1
18517_1_1_1	18517_1_1_1
18696_1_1_1	18696_1_1_1
18696_1_1_1	18696_2_2_2
18696_1_1_1	18697_1_1_1
18696_1_1_1	18697_2_2_2
18696_1_1_1	28113_1_2_2
18887_1_1_1	18887_1_1_1
19146_1_1_1	19146_1_1_1
19449_1_1_1	19449_1_1_1
19713_1_1_1	19713_1_1_1
19713_1_1_1	17720_1_1_1
25010_1_1_1	25010_1_1_1
25010_1_1_1	25007_1_1_1
25736_1_1_1	25736_1_1_1
25976_1_1_1	25976_1_1_1
26963_1_1_1	26963_1_1_1
28092_1_1_1	28092_1_1_1
28092_1_1_1	25630_1_1_1
30423_1_1_1	30423_1_1_1
30959_1_1_1	30959_1_1_1
34326_1_1_1	34326_1_1_1
34503_1_1_1	34503_1_1_1
34743_1_1_1	34743_1_1_1
36345_1_1_1	36345_1_1_1
50900_1_1_1	50900_1_1_1
51396_1_1_1	51396_1_1_1
11472_1_1_1	11472_1_1_1
15206_1_1_1	15206_1_1_1
15560_1_1_1	15560_1_1_1
15560_1_1_1	17414_1_1_1
15782_1_1_1	15782_1_1_1
15782_1_1_1	34167_1_1_1
16063_1_1_1	16063_1_1_1
16398_1_1_1	16398_1_1_1
16721_1_1_1	16721_1_1_1
16971_1_1_1	16971_1_1_1
17271_1_1_1	17271_1_1_1
17501_1_1_1	17501_1_1_1
16675_1_1_1	16675_1_1_1
16902_1_1_1	16902_1_1_1
17149_2_2_1	17149_2_2_1
17149_2_2_1	17149_1_1_1
17434_1_1_1	17434_1_1_1
17950_1_1_1	17950_1_1_1
18190_1_1_1	18190_1_1_1
18190_1_1_1	30293_1_1_1
18190_1_1_1	50168_1_1_1
18458_1_1_1	18458_1_1_1
18458_1_1_1	30098_1_1_1
18458_1_1_1	17085_1_1_1
18649_1_1_1	18649_1_1_1
18649_1_1_1	18648_1_1_1
19095_1_1_1	19095_1_1_1
19403_1_1_1	19403_1_1_1
25149_1_1_1	25149_1_1_1
25433_1_1_1	25433_1_1_1
25713_1_1_1	25713_1_1_1
25713_1_1_1	25714_1_1_1
25713_1_1_1	25715_1_1_1
26643_1_1_1	26643_1_1_1
26929_1_1_1	26929_1_1_1
27593_1_1_1	27593_1_1_1
30379_1_1_1	30379_1_1_1
30890_1_1_1	30890_1_1_1
34144_1_1_1	34144_1_1_1
34471_1_1_1	34471_1_1_1
34471_1_1_1	34472_1_1_1
34471_1_1_1	26952_1_1_1
36221_1_2_2	36221_1_2_2
50302_1_1_1	50302_1_1_1
50302_1_1_1	17165_1_1_1
50302_1_1_1	19099_1_1_1
50302_1_1_1	17166_1_1_1
50302_1_1_1	51097_1_1_1
50302_1_1_1	25809_1_1_1
50302_1_1_1	51098_1_2_2
50842_1_1_1	50842_1_1_1
51288_1_1_1	51288_1_1_1
15121_1_1_1	15121_1_1_1
15444_1_1_1	15444_1_1_1
15718_1_1_1	15718_1_1_1
16001_1_1_1	16001_1_1_1
16336_1_1_1	16336_1_1_1
16676_1_1_1	16676_1_1_1
17713_1_1_1	17713_1_1_1
17968_1_1_1	17968_1_1_1
18474_1_1_1	18474_1_1_1
18654_1_1_1	18654_1_1_1
18654_1_1_1	30314_1_1_1
18841_1_1_1	18841_1_1_1
19419_1_1_1	19419_1_1_1
19680_1_1_1	19680_1_1_1
25166_1_1_1	25166_1_1_1
26645_1_1_1	26645_1_1_1
26931_1_1_1	26931_1_1_1
27275_1_1_1	27275_1_1_1
27596_1_1_1	27596_1_1_1
28050_1_1_1	28050_1_1_1
30399_1_1_1	30399_1_1_1
30610_1_1_1	30610_1_1_1
30899_1_1_1	30899_1_1_1
34146_1_1_1	34146_1_1_1
34704_1_1_1	34704_1_1_1
36264_1_1_1	36264_1_1_1
50314_1_1_1	50314_1_1_1
50870_1_1_1	50870_1_1_1
51325_1_1_1	51325_1_1_1
11408_1_1_1	11408_1_1_1
11408_1_1_1	11405_1_1_1
11408_1_1_1	16236_1_1_1
15132_1_1_1	15132_1_1_1
15465_1_1_1	15465_1_1_1
15723_1_1_1	15723_1_1_1
16008_1_1_1	16008_1_1_1
16341_1_1_1	16341_1_1_1
16685_1_1_1	16685_1_1_1
16909_1_1_1	16909_1_1_1
16909_1_1_1	18165_1_2_2
17715_1_1_1	17715_1_1_1
17975_1_1_1	17975_1_1_1
18201_1_1_1	18201_1_1_1
18497_1_1_1	18497_1_1_1
18664_1_1_1	18664_1_1_1
18849_1_1_1	18849_1_1_1
18849_1_1_1	18200_1_1_1
19107_1_1_1	19107_1_1_1
19427_1_1_1	19427_1_1_1
19687_1_1_1	19687_1_1_1
25168_1_1_1	25168_1_1_1
25445_1_1_1	25445_1_1_1
30091_1_1_1	30091_1_1_1
30995_1_1_1	30995_1_1_1
34202_1_1_1	34202_1_1_1
34202_1_1_1	34216_1_1_1
34335_1_1_1	34335_1_1_1
34512_1_1_1	34512_1_1_1
36430_1_1_1	36430_1_1_1
50446_1_1_1	50446_1_1_1
50953_1_1_1	50953_1_1_1
50953_1_1_1	51080_1_1_1
51411_1_1_1	51411_1_1_1
11504_1_1_1	11504_1_1_1
15211_1_1_1	15211_1_1_1
15585_1_1_1	15585_1_1_1
15798_1_1_1	15798_1_1_1
